iter	RMSE
0	38.94024388
1	36.28836666
2	33.95590328
3	31.9074547
4	30.11967003
5	28.55177509
6	27.16062053
7	25.93248403
8	24.84876821
9	23.92926621
10	23.08852126
11	22.36724361
12	21.7206348
13	21.19575141
14	20.69784319
15	20.26312313
16	19.90069611
17	19.57312148
18	19.2829507
19	19.00765516
20	18.77489316
21	18.58352234
22	18.38619298
23	18.24088844
24	18.03079135
25	17.87689528
26	17.75278801
27	17.62474741
28	17.46796772
29	17.32064731
30	17.23413922
31	17.14261696
32	17.0445372
33	16.9446582
34	16.84404744
35	16.78655942
36	16.7305899
37	16.65031619
38	16.59925125
39	16.50147673
40	16.41096725
41	16.31052979
42	16.24845859
43	16.2207317
44	16.17878287
45	16.13960505
46	16.07674256
47	16.04234202
48	16.02061955
49	15.98309148
50	15.93704895
51	15.91467316
52	15.87787262
53	15.84783875
54	15.79667828
55	15.78032152
56	15.69511386
57	15.64149666
58	15.58363507
59	15.54763725
60	15.53049157
61	15.48061588
62	15.40624668
63	15.38557202
64	15.33737834
65	15.3000351
66	15.28254681
67	15.23912855
68	15.20000595
69	15.18106823
70	15.15813076
71	15.11330585
72	15.0722457
73	15.05719483
74	14.99002089
75	14.97448799
76	14.92488229
77	14.90720057
78	14.88399852
79	14.83497975
80	14.77757705
81	14.7392209
82	14.71346415
83	14.69958836
84	14.67491359
85	14.63516072
86	14.6139796
87	14.60229729
88	14.56253501
89	14.54542876
90	14.53809549
91	14.49494995
92	14.44849888
93	14.42983398
94	14.37430511
95	14.34464715
96	14.32217199
97	14.31022501
98	14.28575292
99	14.24273292
100	14.21650986
101	14.20061186
102	14.14963648
103	14.11153084
104	14.07115576
105	14.02844415
106	14.00725765
107	13.97836147
108	13.94807
109	13.93284832
110	13.89972038
111	13.88975778
112	13.85853711
113	13.83452374
114	13.8220937
115	13.78718565
116	13.76216689
117	13.73689216
118	13.71849673
119	13.70621125
120	13.69658588
121	13.66758872
122	13.6412859
123	13.61806488
124	13.57098114
125	13.53797836
126	13.50078809
127	13.47753733
128	13.46239727
129	13.45612182
130	13.43686825
131	13.40446356
132	13.38221229
133	13.34964515
134	13.34145548
135	13.30385961
136	13.2988578
137	13.27477397
138	13.25447953
139	13.23943624
140	13.21657402
141	13.19945625
142	13.16442216
143	13.15426337
144	13.12016723
145	13.09088737
146	13.08351721
147	13.07285238
148	13.04619145
149	13.03145118
150	13.01892914
151	12.99209923
152	12.97245131
153	12.95717485
154	12.94731242
155	12.93353577
156	12.90638563
157	12.88253381
158	12.85629391
159	12.83760784
160	12.83103285
161	12.80448512
162	12.79667114
163	12.77417814
164	12.75729875
165	12.72342873
166	12.70766701
167	12.68539992
168	12.67706271
169	12.65022411
170	12.62668796
171	12.61775033
172	12.58965659
173	12.57780257
174	12.57114034
175	12.54368338
176	12.53848471
177	12.52519465
178	12.51069819
179	12.50672884
180	12.4857935
181	12.45914799
182	12.44362407
183	12.42951997
184	12.40889178
185	12.39902131
186	12.38776562
187	12.37991145
188	12.34847919
189	12.32793499
190	12.31809035
191	12.306547
192	12.27970663
193	12.26503812
194	12.26049214
195	12.2568322
196	12.23695597
197	12.22710277
198	12.20141167
199	12.19298213
200	12.18424479
201	12.16933584
202	12.15471497
203	12.14314719
204	12.13460011
205	12.11761766
206	12.10933066
207	12.10081923
208	12.08642571
209	12.07141849
210	12.05410619
211	12.04558117
212	12.03731967
213	12.01889752
214	12.00064257
215	11.98691657
216	11.97684939
217	11.95564564
218	11.9356081
219	11.90388343
220	11.89528062
221	11.8881066
222	11.86795337
223	11.85267658
224	11.84594293
225	11.83017921
226	11.81993925
227	11.81067188
228	11.79696025
229	11.78063818
230	11.76776159
231	11.74991088
232	11.74275323
233	11.7335971
234	11.72395015
235	11.71032415
236	11.6939241
237	11.68051158
238	11.6710128
239	11.65657172
240	11.64201276
241	11.63502526
242	11.62876631
243	11.61485958
244	11.59718398
245	11.59237303
246	11.57941939
247	11.56522412
248	11.56139107
249	11.53625829
250	11.52465545
251	11.52252555
252	11.51303593
253	11.49604552
254	11.48724883
255	11.47906383
256	11.46718559
257	11.45017184
258	11.44335055
259	11.43343373
260	11.43045565
261	11.42500705
262	11.41053642
263	11.40329293
264	11.39967376
265	11.39064178
266	11.37504731
267	11.36662537
268	11.35603971
269	11.3429167
270	11.33256074
271	11.32296571
272	11.31850913
273	11.307478
274	11.29660946
275	11.2754716
276	11.26171565
277	11.25519214
278	11.24275324
279	11.23607246
280	11.22860035
281	11.21187536
282	11.20272353
283	11.1961365
284	11.1839474
285	11.16689827
286	11.1543905
287	11.14815376
288	11.13244004
289	11.12672816
290	11.12078745
291	11.11647086
292	11.10756102
293	11.09678943
294	11.08930112
295	11.07941099
296	11.07584537
297	11.06262828
298	11.04306457
299	11.02838057
